JustificationNum	EdgeID	EdgeLabel	IsEdgeNegated	EvtRelMetatype	EvtRelUniqueID	EvtRelClusterID	IsEvtRelNegated	ObjMetatype	ObjectType	ObjClusterID	IsObjNegated	ObjectHandle	DocID	SubjectJustification	PredicateJustification	ArgumentJustification
1	cluster-NILCRML0C04CWFV.000757::A0::cluster-NILCEML0C04CWFV.000575	A0	NotNegated	Relation	cluster-NILCRML0C04CWFV.000757::P108	cluster-NILCRML0C04CWFV.000757	NotNegated	Entity	Q901	cluster-NILCEML0C04CWFV.000575	NotNegated	Nadezhda Izmozherova	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
2	cluster-NILCRML0C04CWFV.000757::A1::cluster-NILCEML0C04CWFV.000779	A1	NotNegated	Relation	cluster-NILCRML0C04CWFV.000757::P108	cluster-NILCRML0C04CWFV.000757	NotNegated	Entity	Q43229	cluster-NILCEML0C04CWFV.000779	NotNegated	Ural State Medical University	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
3	cluster-NILCRML0C04CWFV.000792::A0::cluster-NILCEML0C04CWFV.000575	A0	NotNegated	Relation	cluster-NILCRML0C04CWFV.000792::P463	cluster-NILCRML0C04CWFV.000792	NotNegated	Entity	Q901	cluster-NILCEML0C04CWFV.000575	NotNegated	Nadezhda Izmozherova	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
4	cluster-NILCRML0C04CWFV.000792::A1::cluster-NILCEML0C04CWFV.000774	A1	NotNegated	Relation	cluster-NILCRML0C04CWFV.000792::P463	cluster-NILCRML0C04CWFV.000792	NotNegated	Entity	Q988108	cluster-NILCEML0C04CWFV.000774	NotNegated	Association of Clinical Pharmacologists of Russia	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
5	cluster-NILCRML0C04CWFV.000812::A0::cluster-NILCEML0C04CWFV.000575	A0	NotNegated	Relation	cluster-NILCRML0C04CWFV.000812::P463	cluster-NILCRML0C04CWFV.000812	NotNegated	Entity	Q901	cluster-NILCEML0C04CWFV.000575	NotNegated	Nadezhda Izmozherova	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
6	cluster-NILCRML0C04CWFV.000812::A1::cluster-NILCEML0C04CWFV.000769	A1	NotNegated	Relation	cluster-NILCRML0C04CWFV.000812::P463	cluster-NILCRML0C04CWFV.000812	NotNegated	Entity	Q988108	cluster-NILCEML0C04CWFV.000769	NotNegated	Russian National Society of Pharmacologists	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
7	cluster-NILCVML0C04CWFV.000416::EMPTY_REF::cluster-NILCEML0C04CWFV.000458	EMPTY_REF	NotNegated	Event	cluster-NILCVML0C04CWFV.000416::Q177719	cluster-NILCVML0C04CWFV.000416	NotNegated	Entity	Q169872	cluster-NILCEML0C04CWFV.000458	NotNegated	chest pain	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
8	cluster-NILCVML0C04CWFV.000416::EMPTY_REF::cluster-NILCEML0C04CWFV.000448	EMPTY_REF	NotNegated	Event	cluster-NILCVML0C04CWFV.000416::Q177719	cluster-NILCVML0C04CWFV.000416	NotNegated	Entity	Q169872	cluster-NILCEML0C04CWFV.000448	NotNegated	vomiting	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
9	cluster-NILCVML0C04CWFV.000416::EMPTY_REF::cluster-NILCEML0C04CWFV.000428	EMPTY_REF	NotNegated	Event	cluster-NILCVML0C04CWFV.000416::Q177719	cluster-NILCVML0C04CWFV.000416	NotNegated	Entity	Q169872	cluster-NILCEML0C04CWFV.000428	NotNegated	increase in uric acid	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
10	cluster-NILCVML0C04CWFV.000416::A1_ppt_theme_patient::cluster-NILCEML0C04CWFV.000500	A1_ppt_theme_patient	NotNegated	Event	cluster-NILCVML0C04CWFV.000416::Q177719	cluster-NILCVML0C04CWFV.000416	NotNegated	Entity	Q215627	cluster-NILCEML0C04CWFV.000500	NotNegated	patients with COVID-19 receiving favipiravir	L0C04CWFV	NULL	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)	L0C04CWFV:L0C04D4EO:(1,0)-(5123,0)
