?cluster	?rank
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE05093>	1
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000078>	2
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE04055>	3
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE04051>	4
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE05092>	5
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000082>	6
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000085>	7
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-80000084>	8
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE05091>	9
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE04057>	10
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE05096>	11
<https://tac.nist.gov/tracks/SM-KBP/2019/ontologies/LdcAnnotations#cluster-NILE04052>	12
