DocID     RunID         Prec Recall     F1
IC001V6F1 example-run 1.0000 1.0000 1.0000
IC001V6OI example-run 1.0000 1.0000 1.0000
IC001V76J example-run 1.0000 1.0000 1.0000
IC001V7VC example-run 1.0000 1.0000 1.0000
IC001V8J7 example-run 1.0000 1.0000 1.0000
IC001V8NY example-run 1.0000 1.0000 1.0000
IC001V8WF example-run 1.0000 1.0000 1.0000
IC001V9CI example-run 1.0000 1.0000 1.0000
IC001V9U9 example-run 1.0000 1.0000 1.0000
IC001VAPK example-run 1.0000 1.0000 1.0000
IC001VCIQ example-run 1.0000 1.0000 1.0000
IC001VFA7 example-run 1.0000 1.0000 1.0000
IC001VFH8 example-run 1.0000 1.0000 1.0000
IC001VGO2 example-run 1.0000 1.0000 1.0000
IC001ZTKF example-run 1.0000 1.0000 1.0000
JC002YC3Z example-run 1.0000 1.0000 1.0000
JC002YC48 example-run 1.0000 1.0000 1.0000
JC002YC4N example-run 1.0000 1.0000 1.0000
JC002YCXK example-run 1.0000 1.0000 1.0000
JC002YD6G example-run 1.0000 1.0000 1.0000
JC002YDCM example-run 1.0000 1.0000 1.0000
JC002YF02 example-run 1.0000 1.0000 1.0000
JC002YF1M example-run 1.0000 1.0000 1.0000
JC002YFXO example-run 1.0000 1.0000 1.0000
KC003A59I example-run 1.0000 1.0000 1.0000
KC003A6NA example-run 1.0000 1.0000 1.0000
KC003A7C4 example-run 1.0000 1.0000 1.0000
KC003A7RG example-run 1.0000 1.0000 1.0000
KC003A9VN example-run 1.0000 1.0000 1.0000
Summary   example-run               1.0000
